identifier,actIdentifier,issued,customerName,orderIdentifier,orderDate,orderContractorLegalName,orderContractorIdentifier,addressCountry,addressRegion,addressLocality,streetAddress,locationDescription,latitude,longitude,itemSpecies,itemQuantityPlan,itemQuantityFact,itemQuantityLeft,reportIdentifier,reportDate,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0029,2018-1-30,Дрогобицька міська рада,58-р,2018-1-30,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Кн. Ольги. 4.,null,49.355747,23.514958,Дуб,1,,,,,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0030,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Війтівська Гора.108,null,49.34763,23.51675,Ялина,1,1,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0031,2019-12-4,Дрогобицька міська рада,58-р,2019-10-7,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Трускавецька. 97,null,49.32026,23.51267,Ясень,1,1,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0032,2019-12-4,Дрогобицька міська рада,58-р,            2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Лисенка,null,49.3541,23.50716,Тополя,3,3,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0033,2019-12-4,Дрогобицька міська рада,58-р,           2019-10-24,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Трускавецька,біля виправної колонії,49.32828,23.51524,Ясень,2,2,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0034,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Грушевського 95/1,null,49.35409,23.53358,Верба,1,1,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0035,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Грушевського 117,null,49.35600,23.54223,Горіх,4,4,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0036,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Січових Стрільців,навпроти памятника,49.35559,23.49745,Ясень,1,1,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0037,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Бориславська,біля музичного коледжу,49.34937,23.50507,Верба,10,10,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-58-р,00-0038,2019-12-4,Дрогобицька міська рада,58-р,2019-12-4,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул.Козловського.11,null,49.34220,23.51118,Черешня,1,1,0,10.10.2019,2019,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НС,00-0001,,Дрогобицька міська рада,,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Зварицька. 9,null,49.35033,23.49653,Верба,1,1,0,10.01.2020,2020,НС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НС,00-0002,,Дрогобицька міська рада,,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. В.Великого.92,null,49.35601,23.54025,Яблуня,1,1,0,11.01.2020,2020,НС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229-р,00-0003,2020-4-3,Дрогобицька міська рада,229-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Стрийська. 11-27,null,49.35139,23.51390,Каштан,15,15,0,03.04.1900,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229-р,00-0005,2020-4-3,Дрогобицька міська рада,229-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. В.Великого. 2,null,49.35748,23.51132,Тополя,1,1,0,03.04.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664-р,00-0006,2019-12-4,Дрогобицька міська рада,664-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. П.Орлика. 14,null,49.35564,23.51302,Вишня,2,2,0,12.04.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229-р,00-0007,2020-4-3,Дрогобицька міська рада,229-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Шашкевича,null,49.34759,23.50440,яблуня,1,1,0,15.04.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540-р,00-0008,2020-9-22,Дрогобицька міська рада,540-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. В.Великого.78,null,49.35625,23.53875,Черешня,2,2,0,10.07.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327-р,00-0009,2020-6-3,Дрогобицька міська рада,327-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Стрийська. 103,null,49.35146,23.52176,Ясен,2,2,0,22.08.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327-р,00-0010,2020-6-3,Дрогобицька міська рада,327-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Січових Стрільців. 8,null,49.35490,23.49743,Горіх/Яблуня,2,2,0,22.09.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-р,00-0011,2020-1-27,Дрогобицька міська рада,75-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Тарнавського. 48,null,49.35523,23.49212,Смерека,2,2,0,22.09.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627-р,00-0012,2020-11-4,Дрогобицька міська рада,627-р,,КП “Управитель ЖЕО”,20790524,Україна,Львівська,Дрогобич,вул. Княгині Ольги. 1,null,49.35607,23.51468,Горіх,2,2,0,22.09.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-р,00-0013,2020-1-27,Дрогобицька міська рада,627-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. Грушевського. 68.70,null,49.35333,23.52874,Черешня/Клен/Ясен,3,3,0,27.01.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НС,00-0014,,Дрогобицька міська рада,,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. В. Великого,null,49.35590,23.52496,Ясен,1,1,0,27.03.2020,2020,НС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НС,00-0015,,Дрогобицька міська рада,,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. Зварицька. 9,null,49.35032,23.49672,Клен,1,1,0,27.03.2020,2020,НС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НС,00-0016,,Дрогобицька міська рада,,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. Коновальця. 16,null,49.35967,23.53391,Тополя,1,1,0,27.03.2020,2020,НС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294-р,00-0017,2020-4-15,Дрогобицька міська рада,294-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. Грушевського.13,null,49.35409,23.51720,Липа,3,3,0,27.01.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327-р,00-0018,2020-6-3,Дрогобицька міська рада,327-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. Шевченка.31,null,49.35379,23.49892,Каштан,1,1,0,27.01.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327-р,00-0019,2020-6-3,Дрогобицька міська рада,327-р,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. Шевченка.12,null,49.35291,23.50375,Каштан,1,1,0,27.01.2020,2020,Дозволено розпорядженням міського голови,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НС,00-0020,,Дрогобицька міська рада,,,"КП ""СМУ"" ДМР",43032947,Україна,Львівська,Дрогобич,вул. Самбірська. 102,null,49.36344,23.49369,Липа,1,1,0,27.03.2020,2020,НС,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
